decile,rows,exposure_sum,claims_sum,pred_rate_mean,pred_rate_median,obs_rate,obs_over_pred
0,13561,8242.448325469948,381,0.05135042055828776,0.052802542426204656,0.04622412964636658,0.9001704201019671
1,13560,8124.561119841029,501,0.06300857506610784,0.06311967113239604,0.061664869352327914,0.9786742405716979
2,13560,8004.433822135105,581,0.07008940100365942,0.07008382439426719,0.07258477150417915,1.0356026797887665
3,13560,7923.609635448938,602,0.07652968239907057,0.07655691425294464,0.07597547427207293,0.9927582591535181
4,13561,7816.628340440494,649,0.08292928347890842,0.08291989651322408,0.08302812564879176,1.0011918850101784
5,13560,7709.777717640527,686,0.08991403302436514,0.08982575605782511,0.08897792194843472,0.9895888211834881
6,13560,7396.521294256085,727,0.0989007479695176,0.09863081987098285,0.09828944865805582,0.993819062807794
7,13560,6580.49010329713,767,0.11655828188646708,0.11509120928999467,0.11655666796242084,0.9999861535017494
8,13560,5728.376663668078,971,0.17292609840533452,0.16849554636355496,0.1695070099280509,0.9802280366652965
9,13561,4297.271581699198,1394,0.3374981544226618,0.29370672197044867,0.32439187831102684,0.9611663769419566
